mes,geografia,uol1_name,uol2_name,service1_id,service1_name,nro_fichas_rfo,nro_sn2_ficha_rfo_status _ok,nro_sn2_sn1_dependencias,nro_sn2_sn1,nro_features_desplegadas_calidad,nro_features_desplegadas,puntaje_total_adopcion_sn2,total_sn2_sn1,total_vulnerabilidades_high,total_lineas_codigo,total_vulnerabilidades_high_mes_ant,total_lineas_codigo_mes_ant
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF COMEX Y MERCADOS,433,CIB04 IT CIB CORE OPERATIONS,4,4,4,4,18,18,0,1,0,"38,375",0,"38,375"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF COMEX Y MERCADOS,435,AR16 COMERCIO EXTERIOR,12,12,12,12,18,18,9,10,0,"10,072",0,"9,713"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,409,AR06 COBRANZAS EMISION TC,4,4,0,4,4,4,2,4,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,410,AR11 ABM Y DISTRIBUCION TC,4,3,2,4,7,7,2,2,0,"19,435",0,"19,435"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,411,AR09 BENEFICIOS,3,3,0,3,1,1,0.5,3,2,"1,284,407",0,"1,170,015"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,412,RB04 ATM /CAJEROS AUTOMATICOS,1,1,0,1,0,0,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,413,AR07 TARJETA DE DEBITO,1,1,1,1,2,2,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,414,AR12 CONTABILIDAD TC,3,3,1,3,5,5,2,3,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,415,AR04 MEDIOS ELECTRONICOS DE PAGOS - MOBILE,2,2,0,2,1,1,0.5,1,11,"75,212",11,"75,197"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,417,AR05 LOYALTY,2,2,2,2,4,4,0.5,1,2,"101,940",0,"99,877"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,418,AR10 IMPUESTOS TC,2,2,2,2,0,0,2,2,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,6716,AR15 EVOLUCION DIGITAL DE GESTION DE TARJETAS,1,1,0,1,3,3,0,1,0,"13,589",0,"12,470"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,136,RB05 RETAIL CONTACT CENTER / CONTACT CENTER PARTICULARES,7,7,6,7,6,6,1.5,4,792,"135,937",792,"135,926"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,137,AR34 BRANCHES / OFICINAS CRM,7,7,5,7,15,15,1,6,0,"438,544",0,"433,878"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,139,AR01 ATS / TERMINAL AUTOSERVICIO,1,1,1,1,5,5,0.5,1,0,"160,960",0,"160,960"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,4263,RB07 CONTACT CENTER / GESTION DE MORA,4,4,4,4,14,14,1.5,3,0,"875,061",0,"848,303"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,5854,AR41 TRAFFIC GENERATION & MARKETING AUTOMATION,1,1,1,1,0,0,1,1,0,"13,547",0,"1,003"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5193,"AR39 PRESTAMOS, ADELANTOS E INVERSIONES",4,4,4,4,0,0,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5194,RB06 NECESIDADES DIGITALES,2,2,2,2,3,5,0,1,0,"221,251",0,"220,380"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5195,AR31 PAQUETES Y TARJETAS,5,5,5,5,6,6,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5196,AR33 PRODUCTOS NO CREDITICIOS,4,4,4,4,3,3,0,1,3,"1,598,651",3,"1,577,251"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5197,AR40 PRODUCTIVIDAD,1,1,1,1,0,0,0,0,0,"1,715",0,"1,715"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5198,AR32 MOTOR DE RIESGOS,2,2,2,2,3,3,0,1,0,"164,381",0,"160,610"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,6161,AR47 FORMULARIOS Y CONTRATOS DIGITALES,2,2,1,3,13,13,2,3,0,"42,676",0,"42,676"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,7145,AR03 PRESTAMOS HIPOTECARIOS,3,3,1,3,3,3,3,3,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF WEB Y MOBILE,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,1,1,1,1,5,8,0.5,1,0,"6,407",0,"6,382"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF WEB Y MOBILE,230,RB01 RETAIL WEB / WEBS PARTICULARES,6,6,6,6,15,18,0,2,0,"313,457",0,"349,216"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6213,TRANSFORMACION NEXTGEN,1,1,0,1,0,0,0,1,0,"133,247",0,"81,427"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6778,PROCESS SYSTEMS ARG,2,0,0,2,0,0,0,0,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6860,DEVOPS AR,2,2,0,2,0,0,0,2,0,"1,162,214",0,"202,048"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,72,IN01 INSURANCE DISTRIBUTION/CHANNELS WEB,6,6,0,6,0,0,1,1,0,"94,443",0,"94,443"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,73,AR14 INSURANCE SERVICES,3,3,3,3,1,1,2,2,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,74,AR13 INSURANCE DISTRIBUTION/CHANNELS CORE,5,1,2,5,0,0,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,76,AM01 ASSET MANAGEMENT,3,3,3,3,0,0,0.5,1,0,36,0,36
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,5473,AM02 CONSUMER FINANCE,26,26,24,26,7,7,6.5,12,196,"956,216",198,"951,775"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,19,15,16,13,13,11,16,"1,038","4,143,115","1,157","3,900,600"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,2,2,4,5,6,"660,774",7,"616,120"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,4,4,1,4,0,0,0,4,629,"3,636,532",627,"3,636,532"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,20,16,12,16,9,10,9,14,90,"2,659,425",93,"2,355,936"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,15,13,8,15,17,17,5.5,11,65,"3,191,491",65,"3,031,946"
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,7,7,2,4,6,7,5,5,0,"5,255",0,"5,175"
03/25/2025,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,12,20,20,4,11,0,"791,066",0,"789,443"
03/25/2025,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,9,8,7,9,33,34,6,9,0,"6,553,762",0,"6,857,643"
03/25/2025,CFE,FINANCE,,42,PROCUREMENT,6,5,5,5,2,2,3,4,0,"743,822",0,"743,625"
03/25/2025,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,6,6,6,6,31,36,2,6,0,"2,187,497",0,"2,406,650"
03/25/2025,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,73,73,1,3,1,"121,720",2,"112,199"
03/25/2025,CFE,R&IC,,9,NFR,5,5,4,4,9,9,1,4,0,"726,481",0,"712,528"
03/25/2025,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,5,5,14,14,2,5,153,"713,597",101,"715,252"
03/25/2025,CFE,R&IC,,30,COMPLIANCE,14,12,9,16,20,20,5,13,52,"3,358,195",67,"3,305,468"
03/25/2025,CFE,R&IC,,4911,CROSS DATA & AML,0,0,1,1,16,17,0,1,0,"15,773",0,"13,068"
03/25/2025,CFE,R&IC,,6151,SCREENING & TRANSACTION MONITORING AML,4,4,0,6,16,18,4,5,0,"72,234",0,"72,210"
03/25/2025,CFE,R&IC,,7051,REPORTING FRAUDE,1,1,0,1,0,0,0,0,0,"367,477",0,"367,477"
03/25/2025,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,2,3,44,44,0.5,3,0,"491,074",0,"487,728"
03/25/2025,CFE,RISK,,7,PROVISIONES,3,3,2,3,30,30,0,3,0,"694,573",0,"698,586"
03/25/2025,CFE,RISK,,28,OTHER RISKS,15,14,11,15,22,23,10,13,5,"1,965,970",0,"1,962,282"
03/25/2025,CFE,RISK,,31,WHOLESALE CREDIT RISK,11,10,10,10,81,83,9,11,0,"1,857,257",0,"1,972,410"
03/25/2025,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,6,5,1,9,68,68,2,8,0,"1,094,187",1,"1,088,541"
03/25/2025,CFE,RISK,,46,CAPITAL,10,10,5,10,38,39,6.5,8,0,"709,155",0,"697,096"
03/25/2025,CFE,T&C,,11,TALENT MANAGEMENT,21,16,15,16,17,18,13,18,4,"3,409,461",9,"2,474,438"
03/25/2025,CFE,T&C,,41,PREMISES & SERVICES,24,20,19,21,1,1,14,18,342,"2,598,303",153,"1,638,700"
03/25/2025,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,9,9,1,2,13,"591,804",13,"594,828"
03/25/2025,CFE,T&C,,5028,WORKFORCE RECRUITING-TALENT,2,2,0,1,8,9,3,3,0,"3,254",0,12
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,4921,CIB DATAHUB & EXECUTION,1,1,1,1,355,370,0,1,6,"1,287,918",6,"1,124,750"
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,4985,CIB RISK DATA,3,3,3,3,32,33,0,3,95,"1,019,622",140,"1,013,789"
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5010,CIB FINANCE PLATFORMS,2,2,2,2,1,1,0,1,0,"2,098,660",0,"26,246"
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5012,CIB LIQUIDITY & ADMISSION,7,4,2,8,10,27,4,7,760,"29,035,783",837,"28,345,347"
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5161,CIB SUSTAINABILITY & BUSINESS SOL,24,22,23,23,54,57,7,17,"3,934","9,864,495","6,249","9,789,329"
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,7517,ANALYTICS,1,0,1,1,0,0,0,0,0,0,0,0
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,39,RISKS,26,23,20,25,77,88,5,18,405,"12,906,096",17,"8,119,203"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,448,REGULATORY & ONBOARDING,25,18,14,23,56,68,12,17,312,"10,805,976",308,"11,545,616"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,449,"REF. DATA, TRADE & GLOBAL FINANCE",14,13,11,13,12,13,5,7,"1,434","10,210,145",796,"9,802,088"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,450,EQUITIES,24,23,14,16,23,29,12,20,67,"5,674,395",1,"4,302,430"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,451,ACCOUNTING & REDEXT,6,6,5,6,26,28,2,4,0,"29,936",0,"27,588"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,452,FX,18,17,7,13,13,23,3,8,2,"2,081,904",2,"2,061,288"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,453,FIXED INCOME,13,13,10,11,46,66,3,7,2,"4,134,624",2,"2,883,498"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,4924,FRONT OFFICE PLATFORM,4,4,4,4,81,92,1,3,2,"26,182",2,"263,989"
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,6776,GTB & IB&F,0,0,0,1,0,0,0,0,0,0,0,0
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,7231,CIB ONLINE INTEGRATION,2,0,0,2,10,10,1,2,0,"1,252,618",0,0
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATA TRANSFORMATION,6018,CLIENT SOLUTIONS - DATA,6,6,6,6,17,21,2.5,4,0,"298,132",0,"281,783"
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4502,FINANZAS - DATA,3,3,3,3,101,103,2,3,0,"248,280",0,"240,263"
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4503,RIESGOS - DATA,5,5,5,5,97,109,5,5,0,"619,185",0,"697,636"
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4506,DATA MODELING & DEVELOPMENT,11,11,11,11,63,64,10,11,0,"316,520",0,"313,192"
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4914,ENGINEERING - DATA,4,4,2,4,0,0,3,3,73,"1,583,166",0,"609,354"
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,SALESFORCE,4495,SALESFORCE - DATA,3,3,3,3,4,13,0,3,246,"3,491,177",236,"2,588,815"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,293,T&C,11,11,9,9,6,6,3,3,19,"249,253",19,"249,253"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,294,FINANZAS,16,16,16,16,23,23,6,8,0,"140,752",0,"94,229"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,295,CUMPLIMIENTO & AUDITORIA,14,13,14,14,4,4,4,5,0,696,0,696
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5127,RIESGOS PARTICULARES,6,5,6,6,14,14,6,6,0,"719,524",0,"707,463"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5130,RIESGOS COBRANZA,2,2,2,2,12,12,1,1,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5131,"RIESGOS REPORTING, NORMATIVOS",6,6,6,6,8,8,3,3,0,"51,831",0,"51,831"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,6209,RIESGOS PYMES Y MAYORISTAS,6,5,6,6,9,9,3,3,671,"156,503",671,"155,514"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,456,BACKOFFICE,5,4,5,5,6,6,0,0,0,"2,927",0,"2,927"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,457,FIDUCIARIA,7,6,7,7,0,0,4.5,6,73,"4,545,305",73,"3,912,205"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,458,GLOBAL MARKET & COMEX,17,17,17,17,26,30,6.5,10,9,"799,489",9,"595,278"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,459,VALORES,4,4,3,3,3,3,0,0,0,"40,333",0,"39,100"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,55,LOANS,9,9,8,9,75,77,4,6,15,"3,779,361",15,"3,607,178"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,169,ACCOUNTS,7,5,7,7,35,35,2.5,3,0,"573,105",0,"494,725"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,172,PERSONAS Y ARQ. HOST,4,4,4,4,19,28,1,2,0,"239,321",0,"225,516"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,173,VENTAS ASISTIDAS CAP,2,2,2,2,7,8,1.5,2,90,"659,656",90,"559,912"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,174,PROCESS AUTOMATION,18,18,17,17,12,12,5,7,50,"2,629,529",2,"2,390,619"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,7283,GESTION REMOTA RETAIL,1,1,1,1,27,27,0,1,0,"54,973",0,"40,535"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,7437,GESTION REMOTA PYMES,0,0,0,1,10,10,0,0,0,"44,753",0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DATA TRANSFORMATION,111,CLIENT SOLUTIONS,1,1,1,1,1,2,1,1,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6110,TESTING TOOLS,4,4,0,4,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6136,DEVOPS - CI/CD,0,0,0,0,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6136,DEVOPS - CI/CD,0,0,0,0,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,7207,Z COLOMBIA,0,0,0,1,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,175,PAYMENTS,11,9,11,11,58,58,7,8,0,"786,055",0,"681,545"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,395,ENTERPRISE WEB CHANNEL,7,5,7,7,36,41,4,6,324,"5,321,657",323,"5,259,661"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,396,TRANSACCIONALIDAD,6,6,6,6,17,18,3,4,9,"1,344,433",0,"1,085,843"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,5209,ENTERPRISE MOBILE (GEMA),2,1,2,2,53,59,0,1,0,"80,048",0,"79,109"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,6667,SOLUCIONES FINANCIERAS,3,3,3,3,14,14,1,2,0,"2,727",0,"2,611"
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,85,OPEN MARKET,7,6,6,8,48,48,3,4,12,"464,141",12,"439,011"
