mes,geografia,uol1_name,uol2_name,sn1,sn2,issues_analysis2_analysis_sin_review_menor_7_dias,total_issues_analysis2_pasaron_analysis_sin_review,historias_deployed_fix_version,total_historias_deployed,repositorios_activos_nomenclatura_estandar,total_repositorios_activos,mediana_tiempos_pr_ tardado_ser_mergeadas_o_rechazadas,mediana_lineas_codigo_modificadas_prs_mergeadas_o_rechazadas,repositorios_activos_gobernados_chimera,"mediana_tiempo_desde_primera_contribucion_hasta_merge
permanentes","mediana_tiempo_ejecucion_pipelines_correctos
repositorio",ejecuciones_pipeline_estado_success,ejecuciones_pipeline_estado_success_ o_failure,"mediana_tiempo_entre_fallo_y_exito_pipeline
mediana_tiempo_entre_fallo_y_exito_pipeline",repositorios_actividad_y_analisis_sonarqube_ok,repositorios_actividad_analisis_sonarqube,items_desplegados_pruebas_xray_ejecutadas,items_desplegados
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR19 DIGITALIZACION DE IMAGENES,OCR - PORTAL DE EDICION,6,7,10,14,3,13,4.04,363,7,9.11,22,8,11,53.5,4,13,0,5
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR19 DIGITALIZACION DE IMAGENES,THUBAN,6,7,7,10,4,10,1.28,943.5,9,4.54,12.5,7,14,83,9,14,7,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,ADM. PRESUP. TRANSP. CAUDALES - APTC-CAR / SK,7,10,6,13,5,10,2.75,700.5,3,7.44,49,2,12,30.5,8,11,2,5
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,CFS,2,11,4,12,1,1,1.08,357,3,4.77,7.5,0,1,38,10,13,5,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,IMPRESION DE CH/ PAGO A PROV. EMPRESAS - 19,9,14,9,11,1,8,2.04,116.5,9,5.09,27,7,8,82.5,7,15,5,5
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,INTEGRACION MEP PARA ENTIDADES - MEP,10,14,4,6,8,14,3.48,533,8,9.41,48,8,10,143,1,12,6,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,NUEVO SISTEMA DE OFICIOS Y EMBARGOS - OF,9,9,8,14,7,11,3.03,267,6,7.3,49.5,0,5,16,2,3,7,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,OFICIOS AFIP,0,1,5,8,5,11,1.16,2,0,2.17,21,7,11,113.5,10,14,6,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,SOPORTE SUCURSALES Y AACC - EUREKA,7,14,7,10,7,15,2.75,420,7,7.81,36,4,10,100.5,9,11,9,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,VALIJA DIGITAL,8,9,5,6,9,13,4.41,46.5,1,7.61,4.5,2,13,45,8,10,5,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR36 LOCAL SERVICES,VISULIZACION DE RESUMENES - TC24,9,11,5,6,6,11,1.19,956.5,6,3.53,14.5,8,11,169,2,8,8,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR38 SALUD FINANCIERA,MI DIA A DIA - PFM,7,12,9,14,8,9,4.84,199.5,7,9.13,30.5,8,12,78,2,14,1,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR38 SALUD FINANCIERA,MIS OTROS BANCOS - ADT,4,5,1,13,2,4,2.11,509.5,8,1.9,37.5,0,6,188,2,9,0,4
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,AVISOS PARA EMPLEADOS - CLASIFICADOS,4,7,8,12,2,3,4.56,234.5,9,9.5,23.5,10,13,109,4,9,5,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,FOS - FACTURACION OBRAS SOCIALES,0,8,9,13,6,14,0.44,981,1,2.08,12.5,3,11,190,5,14,2,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,HORAS EXTRAS RRHH,6,14,3,8,5,6,2.31,614,6,3.04,31.5,6,9,140,6,8,9,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,LICENCIAS RRHH,7,12,9,10,4,8,0.98,827.5,0,2.91,27,6,14,158.5,1,14,1,3
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,LIQUIDACION HABERES,6,8,4,9,5,12,4.54,721,8,3.59,3,7,14,189,8,9,9,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,META4,9,12,8,8,10,11,5.91,685,9,8.81,5.5,7,9,42,9,12,4,6
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,RECETAS ELECTRONICAS,5,9,10,12,2,7,2.82,445,7,2.09,32.5,0,3,176.5,2,7,3,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,RENDICION DE GASTOS - SU/RENDICION DE GASTOS,8,15,1,8,0,2,2.86,759,2,9.53,18,6,8,2,7,11,4,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,SALESFORCE CARE,5,13,9,12,5,14,4.83,407,5,1.66,23,3,8,186,7,13,1,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,SUMINISTROS,3,10,7,12,1,1,4.65,646.5,4,5.98,16.5,10,12,2,6,14,6,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB BENEFICIOS,10,13,9,11,1,10,2.17,185,8,2.14,33.5,8,10,52,5,10,5,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB GYM,2,5,6,13,9,10,5.07,910,2,9.7,38,4,12,15,4,5,8,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB PRESUPUESTO T&C,8,12,8,14,7,12,5.49,337,7,7.38,40.5,2,14,160.5,4,12,0,6
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB RECURSOS HUMANOS - WEBRH,3,14,7,8,8,10,1.44,979,3,4.43,21.5,0,2,92,2,8,0,2
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB RRHH - RECIBO DIGITAL,1,2,4,9,5,11,3.42,213.5,3,1.28,46,3,12,112.5,0,13,2,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WEB RRHH-CUENTA CORRIENTE PREPAGAS,1,11,8,8,1,14,4.65,325.5,1,6.62,29,1,8,186,6,6,5,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF01 TALENT & CULTURA,WORKDAY - WD,3,3,4,12,5,11,0.15,118,3,9.1,50,4,15,34.5,6,11,2,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,CRR,1,10,1,4,3,11,0.13,827.5,7,1.54,37,5,13,113.5,1,3,2,5
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,FILTRADO DE CLIENTES BATCH - FIRCOSOFT TRUST,1,12,9,12,6,12,2.39,701.5,9,6.35,31.5,3,4,119,9,12,5,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,FILTRADO DE OP. ONLINE - FIRCOSOFT CONTINUITY,9,14,9,11,5,11,2.56,479,1,3.07,48.5,2,7,85,1,8,7,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,GENERADOR DE ALERTAS PLD - SAS AML,3,13,1,14,9,12,4.33,313,3,2.66,22,2,2,62,6,14,6,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,GENERADOR MUESTRAS AUDITORIA - ACL,6,14,6,14,4,5,2.15,836.5,5,2.98,20.5,0,13,36.5,5,11,1,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,RISK BASED APPROACH - RBA,3,6,5,10,5,13,1.42,99,6,8.01,5,2,4,103,9,14,9,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,SEGUIMIENTO DE ALERTAS PARA PLD - SIA,8,12,0,3,1,9,3.22,122.5,10,5.89,37,1,4,18,1,7,6,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF02 COMPLIANCE,VTOS. Y/O REGIMENES INFORMATIVOS - AGENDA,9,11,4,13,10,11,1.92,13.5,8,6.54,26.5,7,14,96,9,10,4,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF03 LEGAL,GESTION DE EXP. JUDICIALES SSJJ Y RRLL- JN,3,12,9,15,9,13,2.54,843.5,8,2.44,34,2,11,147,9,14,10,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS, CONTABILIDAD POR OPERACION-QH,9,12,1,7,3,10,0.82,107.5,2,4.3,22.5,8,14,21.5,9,10,7,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS, RORC-RJ,9,12,10,12,0,14,1.27,638.5,4,7.24,1,3,12,121.5,7,11,9,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,CONTABILIDAD - HA,1,11,0,1,1,8,1.06,751,7,4.59,31,8,12,24,9,12,3,12
07/01/2025,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,OPERATIONAL CRM,ALERTAS DE GESTION MAINFRAME,8,11,4,12,9,13,2.07,8,4,1.27,25.5,6,9,133.5,8,11,9,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,COTIZADOR PRODUCTOS BANCA EMPRESA - PH,1,14,10,12,7,7,2.85,144,4,9.1,4,4,10,117.5,4,11,10,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,DERRAMAS-DR,9,15,1,6,0,8,1.26,668.5,4,7.77,42,10,15,174,6,10,9,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,FATCA /CRS - CRM OPERACIONES,5,6,3,3,4,9,3.58,997.5,2,8.19,5.5,2,4,51.5,8,14,4,4
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,IVA - RENDICION - IV,7,10,7,12,7,14,0.11,841,1,3.14,42,4,8,94,0,0,0,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,LAVADO DE DINERO - LD,2,12,8,13,1,1,3.99,821.5,3,1.67,24,7,12,74,9,10,7,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,PARTIDAS CONTABLES PENDIENTES - CRM PART.CONT,9,14,10,11,1,4,2.16,321.5,5,0.73,30.5,4,6,4.5,2,9,5,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,RIESGO OPERACIONAL - XO,3,11,3,13,4,15,1.66,765,5,9.41,31,1,10,66,6,9,4,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,SICORE - GANANCIAS - IMP AL CHEQUE- DG,10,15,3,13,9,14,4.89,838.5,5,6.63,18.5,3,6,10.5,7,13,3,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF06 FINANCE / FINANZAS,WORKIVA,1,14,6,7,9,14,3.68,462.5,6,3.27,6,9,10,131,4,14,5,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,CEPRO BANK - CEPRO/SU,1,8,3,11,2,14,4.07,775,5,8.07,9,8,9,71,3,6,8,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,FACTURA DE CREDITO ELECTRONICA - FCE,10,12,10,10,4,14,3.62,41,8,9.09,32.5,0,13,182.5,10,14,3,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,GESTION MANTENIMIENTO (MODULO DE GPS) - GMI,7,7,3,8,5,15,2.57,736.5,1,9.76,18,9,13,7.5,2,5,2,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,GLOBAL PROCUREMENT SYSTEM - GPS,5,10,8,8,4,7,5.71,986,2,4.6,46.5,2,11,110,9,11,8,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,OP. CENTRALES - SU/OPERACIONES CENTRALES,8,14,10,11,6,13,5.8,471,5,9.45,24.5,9,13,146,9,9,4,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,CF07 PROCUREMENT,PORTAL DE PROVEEDORES,8,13,10,11,9,13,3.43,966,8,1.82,4,1,4,38.5,1,12,1,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR04 MEDIOS ELECTRONICOS DE PAGOS - MOBILE,MODO,6,10,9,14,7,14,2.17,363,0,7.77,29,10,13,54.5,9,10,2,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR04 MEDIOS ELECTRONICOS DE PAGOS - MOBILE,TRX. CON CTAS. OTRAS ENTIDADES - OPEN BANKING,9,9,0,10,4,7,5.49,16,6,4.22,32.5,2,8,29,2,7,6,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR05 LOYALTY,BACK OFFICE DE PUNTOS,9,12,5,9,1,9,2.92,591.5,8,2.9,4,2,7,179,6,7,3,4
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR05 LOYALTY,PUNTOS BBVA,1,8,2,13,6,12,5.58,840.5,6,3.17,19.5,0,1,28.5,3,4,7,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR09 BENEFICIOS,BBVA - GO,1,12,1,15,8,13,3.12,483,0,5.65,34.5,3,12,57,4,13,4,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR09 BENEFICIOS,GESTION DE PROMOCIONES - SUIP,1,14,2,10,7,7,1.82,288.5,8,7.54,33,5,14,8.5,5,7,6,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR09 BENEFICIOS,PORTAL DE MARCAS / GO COMERCIOS - PORTMARCAS,2,6,0,2,7,8,1.39,542,3,0.17,5.5,8,14,126,4,4,6,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,AR15 EVOLUCION DIGITAL DE GESTION DE TARJETAS,EXPERIENCIA DIGITAL TARJETAS - ORANGE,6,12,6,11,3,6,0.02,575.5,5,2.05,37.5,10,15,126.5,3,13,5,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,ACCESOS GLOMO,8,10,3,12,7,8,5.11,789,9,1.7,0,9,13,27.5,7,11,3,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,ADVICE GLOMO,0,4,5,6,8,12,0.58,384.5,9,6.47,23,6,7,145.5,2,8,6,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,APP. BBVA - BANCA MOVIL,5,9,5,9,8,13,5.74,892,1,5.99,48,9,14,48,0,1,7,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,ASISTENCIA GLOMO,2,14,2,14,5,13,4.06,528.5,5,1.25,1,2,9,41.5,5,10,4,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,AUTOGESTION GLOMO,2,9,2,14,1,11,4.67,538.5,3,6.41,10.5,7,14,88,2,5,9,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,BENEFICIOS GLOMO,6,14,5,12,9,14,0.68,197,2,0.9,33,8,12,68,9,10,2,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,DASHBOARD GLOMO,6,9,5,7,1,10,3.82,716,6,6.02,20.5,3,9,161.5,3,14,10,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,EXPERIENCIA POST PAGO GLOMO,4,9,5,9,4,6,3.38,55,9,7.35,15,3,9,19.5,3,6,4,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,FIDELIZACION GLOMO,8,9,1,2,5,9,5.26,410,8,5.1,6,9,12,179,5,13,3,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,GOBIERNO DE LA APP GLOMO,3,7,9,9,5,11,2.69,456,9,8.16,10.5,10,13,173,7,12,10,12
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,PAGO DE SERVICIOS GLOMO,1,11,6,15,8,9,1.99,923,4,1.83,37,4,11,50.5,2,12,4,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,PAGO QR GLOMO,5,8,5,5,1,12,2.06,690.5,10,4.09,21,2,14,142.5,2,14,1,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,PAGOS SEGUROS GLOMO,2,14,5,11,5,14,5.35,1.5,2,0.29,22.5,6,12,73.5,1,4,3,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,PERSONAS GLOMO,6,11,3,11,6,12,1.2,377.5,6,2.8,28,10,15,56,6,9,6,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,PRODUCTOS- CUENTAS GLOMO,9,11,5,13,6,14,3.82,322.5,1,8.19,25,0,11,45,2,6,4,5
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,SEGURIDAD GLOMO,6,13,9,10,1,3,2.62,474,1,3.11,26,2,4,56,1,10,3,4
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,TARJETAS GLOMO,5,12,10,14,3,10,4.76,97.5,9,7.88,49.5,5,7,180,9,15,2,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,TOKENIZACION Y BILLETERAS GLOMO,1,3,6,12,6,13,5.2,24.5,9,9.75,48.5,9,10,32.5,5,7,4,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB02 RETAIL MOBILE / MOVILES PARTICULARES,TRANSFERENCIA GLOMO,6,6,1,13,3,12,1.54,439.5,9,3.76,50,2,14,104,10,13,8,15
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB01 RETAIL WEB / WEBS PARTICULARES,ACCESOS BO,2,10,10,14,8,11,0.17,629,3,2.78,47.5,2,2,55.5,1,14,5,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB01 RETAIL WEB / WEBS PARTICULARES,ADVICE BO,3,12,8,8,2,11,2.75,454,9,7.24,8.5,6,8,63.5,5,13,7,8
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB01 RETAIL WEB / WEBS PARTICULARES,ASISTENCIA BO,6,10,1,6,1,6,1.34,669,6,3.3,12,5,6,78,1,5,3,9
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB01 RETAIL WEB / WEBS PARTICULARES,AUTOGESTION BO,2,13,3,5,6,14,3.83,528.5,1,0.98,20,3,14,185.5,8,14,0,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,RB01 RETAIL WEB / WEBS PARTICULARES,BANCA ONLINE,1,13,7,15,2,8,3.37,587,6,6.77,8,5,14,29,6,13,7,13
