mes,geografia,uol1_name,uol2_name,service1_id,service1_name,nro_fichas_rfo,nro_fichas_rfo_ok,nro_sn2_sn1_dependencias,nro_sn2_sn1,nro_features_desplegadas_calidad,nro_features_desplegadas,puntaje_total_adopcion_sn2,sn2_sn1_medidos,total_vulnerabilidades_high,total_lineas_codigo
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,336,AR22 ACCOUNTS & DEPOSITS / CUENTAS,10,10,10,10,7,7,6,9,0,121876
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,337,AR23 PEOPLE SERVICING,5,5,5,5,14,14,3,3,0,197080
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,338,AR26 SERVICIOS PASIVOS,6,6,6,6,8,8,6,6,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,4266,AR29 PRENDARIOS / HIPOTECARIOS,2,2,2,2,4,4,2,2,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,186,CF06 FINANCE / FINANZAS,13,13,13,13,5,5,6,6,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,187,CF07 PROCUREMENT,6,6,6,6,9,9,0.5,3,0,85751
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,189,AR36 LOCAL SERVICES,9,9,8,9,2,2,0.5,4,9,644628
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,190,CF02 COMPLIANCE,7,7,2,7,17,17,0.5,2,14,121932
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,191,CF03 LEGAL,1,1,0,1,0,0,1,1,0,16
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,192,AR19 DIGITALIZACION DE IMAGENES,3,3,2,3,5,6,1,2,0,150053
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,193,AR18 AUTOMATIZACION DE PROCESO,1,1,1,1,5,5,0,0,0,27
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,194,AR17 ENGINEERING SERVICES,11,11,10,12,5,5,2,3,4,285495
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,195,CF01 TALENT & CULTURA,17,17,13,13,4,4,1,7,75,949729
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,4265,AR38 SALUD FINANCIERA,2,2,1,2,1,1,0,0,0,18184
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,STAFFING Y METODOLOGIA,149,AR35 BRANCHES / OFICINAS OPERATORIA,3,3,3,3,0,0,1,1,18,3992352
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,140,AR28 PAGOS Y COBROS,12,12,10,12,5,5,10,11,0,32785
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,141,AR27 GESTION DE CHEQUES,3,3,3,3,26,26,1,3,12,45997
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,142,PE01 PENSIONS,9,9,9,9,4,6,4,4,0,105907
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,188,CF05 RISKS / RIESGOS MAYORISTA,15,15,5,15,9,10,9,9,0,85424
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,380,PA01 INTERBANK PAYMENTS / PAGOS INTERBANKING,3,3,1,3,0,0,2,2,0,17
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF COMEX Y MERCADOS,433,CIB04 IT CIB CORE OPERATIONS,4,4,4,4,18,18,0,1,0,38375
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF COMEX Y MERCADOS,435,AR16 COMERCIO EXTERIOR,12,12,12,12,18,18,9,10,0,10072
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,409,AR06 COBRANZAS EMISION TC,4,4,0,4,4,4,2,4,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,410,AR11 ABM Y DISTRIBUCION TC,4,3,2,4,7,7,2,2,0,19435
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,411,AR09 BENEFICIOS,3,3,0,3,1,1,0.5,3,2,1284407
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,412,RB04 ATM /CAJEROS AUTOMATICOS,1,1,0,1,0,0,1,1,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,413,AR07 TARJETA DE DEBITO,1,1,1,1,2,2,1,1,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,414,AR12 CONTABILIDAD TC,3,3,1,3,5,5,2,3,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,415,AR04 MEDIOS ELECTRONICOS DE PAGOS - MOBILE,2,2,0,2,1,1,0.5,1,11,75212
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,417,AR05 LOYALTY,2,2,2,2,4,4,0.5,1,2,101940
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,418,AR10 IMPUESTOS TC,2,2,2,2,0,0,2,2,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MEDIOS DE PAGO,6716,AR15 EVOLUCION DIGITAL DE GESTION DE TARJETAS,1,1,0,1,3,3,0,1,0,13589
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,136,RB05 RETAIL CONTACT CENTER / CONTACT CENTER PARTICULARES,7,7,6,7,6,6,1.5,4,792,135937
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,137,AR34 BRANCHES / OFICINAS CRM,7,7,5,7,15,15,1,6,0,438544
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,139,AR01 ATS / TERMINAL AUTOSERVICIO,1,1,1,1,5,5,0.5,1,0,160960
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,4263,RB07 CONTACT CENTER / GESTION DE MORA,4,4,4,4,14,14,1.5,3,0,875061
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF MODELOS DE ATENCION,5854,AR41 TRAFFIC GENERATION & MARKETING AUTOMATION,1,1,1,1,0,0,1,1,0,13547
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5193,"AR39 PRESTAMOS, ADELANTOS E INVERSIONES",4,4,4,4,0,0,1,1,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5194,RB06 NECESIDADES DIGITALES,2,2,2,2,3,5,0,1,0,221251
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5195,AR31 PAQUETES Y TARJETAS,5,5,5,5,6,6,1,1,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5196,AR33 PRODUCTOS NO CREDITICIOS,4,4,4,4,3,3,0,1,3,1598651
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5197,AR40 PRODUCTIVIDAD,1,1,1,1,0,0,0,0,0,1715
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,5198,AR32 MOTOR DE RIESGOS,2,2,2,2,3,3,0,1,0,164381
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,6161,AR47 FORMULARIOS Y CONTRATOS DIGITALES,2,2,1,3,13,13,2,3,0,42676
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF VENTAS,7145,AR03 PRESTAMOS HIPOTECARIOS,3,3,1,3,3,3,3,3,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF WEB Y MOBILE,229,RB02 RETAIL MOBILE / MOVILES PARTICULARES,1,1,1,1,5,8,0.5,1,0,6407
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF WEB Y MOBILE,230,RB01 RETAIL WEB / WEBS PARTICULARES,6,6,6,6,15,18,0,2,0,313457
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6213,TRANSFORMACION NEXTGEN,1,1,0,1,0,0,0,1,0,133247
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6778,PROCESS SYSTEMS ARG,2,0,0,2,0,0,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION SYSTEM,6860,DEVOPS AR,2,2,0,2,0,0,0,2,0,1162214
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,72,IN01 INSURANCE DISTRIBUTION/CHANNELS WEB,6,6,0,6,0,0,1,1,0,94443
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,73,AR14 INSURANCE SERVICES,3,3,3,3,1,1,2,2,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,74,AR13 INSURANCE DISTRIBUTION/CHANNELS CORE,5,1,2,5,0,0,1,1,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,76,AM01 ASSET MANAGEMENT,3,3,3,3,0,0,0.5,1,0,36
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,VINCULADAS Y SEGUROS,5473,AM02 CONSUMER FINANCE,26,26,24,26,7,7,6.5,12,196,956216
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,19,15,16,13,13,11,16,1038,4143115
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,2,2,4,5,6,660774
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,4,4,1,4,0,0,0,4,629,3636532
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,20,16,12,16,9,10,9,14,90,2659425
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,15,13,8,15,17,17,5.5,11,65,3191491
03/25/2025,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,7,7,2,4,6,7,5,5,0,5255
03/25/2025,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,12,20,20,4,11,0,791066
03/25/2025,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,9,8,7,9,33,34,6,9,0,6553762
03/25/2025,CFE,FINANCE,,42,PROCUREMENT,6,5,5,5,2,2,3,4,0,743822
03/25/2025,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,6,6,6,6,31,36,2,6,0,2187497
03/25/2025,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,73,73,1,3,1,121720
03/25/2025,CFE,R&IC,,9,NFR,5,5,4,4,9,9,1,4,0,726481
03/25/2025,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,5,5,14,14,2,5,153,713597
03/25/2025,CFE,R&IC,,30,COMPLIANCE,14,12,9,16,20,20,5,13,52,3358195
03/25/2025,CFE,R&IC,,4911,CROSS DATA & AML,0,0,1,1,16,17,0,1,0,15773
03/25/2025,CFE,R&IC,,6151,SCREENING & TRANSACTION MONITORING AML,4,4,0,6,16,18,4,5,0,72234
03/25/2025,CFE,R&IC,,7051,REPORTING FRAUDE,1,1,0,1,0,0,0,0,0,367477
03/25/2025,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,2,3,44,44,0.5,3,0,491074
03/25/2025,CFE,RISK,,7,PROVISIONES,3,3,2,3,30,30,0,3,0,694573
03/25/2025,CFE,RISK,,28,OTHER RISKS,15,14,11,15,22,23,10,13,5,1965970
03/25/2025,CFE,RISK,,31,WHOLESALE CREDIT RISK,11,10,10,10,81,83,9,11,0,1857257
03/25/2025,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,6,5,1,9,68,68,2,8,0,1094187
03/25/2025,CFE,RISK,,46,CAPITAL,10,10,5,10,38,39,6.5,8,0,709155
03/25/2025,CFE,T&C,,11,TALENT MANAGEMENT,21,16,15,16,17,18,13,18,4,3409461
03/25/2025,CFE,T&C,,41,PREMISES & SERVICES,24,20,19,21,1,1,14,18,342,2598303
03/25/2025,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,9,9,1,2,13,591804
03/25/2025,CFE,T&C,,5028,WORKFORCE RECRUITING-TALENT,2,2,0,1,8,9,3,3,0,3254
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,4921,CIB DATAHUB & EXECUTION,1,1,1,1,355,370,0,1,6,1287918
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,4985,CIB RISK DATA,3,3,3,3,32,33,0,3,95,1019622
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5010,CIB FINANCE PLATFORMS,2,2,2,2,1,1,0,1,0,2098660
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5012,CIB LIQUIDITY & ADMISSION,7,4,2,8,10,27,4,7,760,29035783
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,5161,CIB SUSTAINABILITY & BUSINESS SOL,24,22,23,23,54,57,7,17,3934,9864495
03/25/2025,CIB,CIB ENGINEERING,SW CROSS,7517,ANALYTICS,1,0,1,1,0,0,0,0,0,0
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,39,RISKS,26,23,20,25,77,88,5,18,405,12906096
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,448,REGULATORY & ONBOARDING,25,18,14,23,56,68,12,17,312,10805976
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,449,"REF. DATA, TRADE & GLOBAL FINANCE",14,13,11,13,12,13,5,7,1434,10210145
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,450,EQUITIES,24,23,14,16,23,29,12,20,67,5674395
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,451,ACCOUNTING & REDEXT,6,6,5,6,26,28,2,4,0,29936
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,452,FX,18,17,7,13,13,23,3,8,2,2081904
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,453,FIXED INCOME,13,13,10,11,46,66,3,7,2,4134624
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,4924,FRONT OFFICE PLATFORM,4,4,4,4,81,92,1,3,2,26182
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,6776,GTB & IB&F,0,0,0,1,0,0,0,0,0,0
03/25/2025,CIB,CIB ENGINEERING,SW DELIVERY,7231,CIB ONLINE INTEGRATION,2,0,0,2,10,10,1,2,0,1252618
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATA TRANSFORMATION,6018,CLIENT SOLUTIONS - DATA,6,6,6,6,17,21,2.5,4,0,298132
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4502,FINANZAS - DATA,3,3,3,3,101,103,2,3,0,248280
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4503,RIESGOS - DATA,5,5,5,5,97,109,5,5,0,619185
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4506,DATA MODELING & DEVELOPMENT,11,11,11,11,63,64,10,11,0,316520
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,4914,ENGINEERING - DATA,4,4,2,4,0,0,3,3,73,1583166
03/25/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,SALESFORCE,4495,SALESFORCE - DATA,3,3,3,3,4,13,0,3,246,3491177
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,293,T&C,11,11,9,9,6,6,3,3,19,249253
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,294,FINANZAS,16,16,16,16,23,23,6,8,0,140752
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,295,CUMPLIMIENTO & AUDITORIA,14,13,14,14,4,4,4,5,0,696
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5127,RIESGOS PARTICULARES,6,5,6,6,14,14,6,6,0,719524
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5130,RIESGOS COBRANZA,2,2,2,2,12,12,1,1,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5131,"RIESGOS REPORTING, NORMATIVOS",6,6,6,6,8,8,3,3,0,51831
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,6209,RIESGOS PYMES Y MAYORISTAS,6,5,6,6,9,9,3,3,671,156503
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,456,BACKOFFICE,5,4,5,5,6,6,0,0,0,2927
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,457,FIDUCIARIA,7,6,7,7,0,0,4.5,6,73,4545305
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,458,GLOBAL MARKET & COMEX,17,17,17,17,26,30,6.5,10,9,799489
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,459,VALORES,4,4,3,3,3,3,0,0,0,40333
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,55,LOANS,9,9,8,9,75,77,4,6,15,3779361
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,169,ACCOUNTS,7,5,7,7,35,35,2.5,3,0,573105
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,172,PERSONAS Y ARQ. HOST,4,4,4,4,19,28,1,2,0,239321
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,173,VENTAS ASISTIDAS CAP,2,2,2,2,7,8,1.5,2,90,659656
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,174,PROCESS AUTOMATION,18,18,17,17,12,12,5,7,50,2629529
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,7283,GESTION REMOTA RETAIL,1,1,1,1,27,27,0,1,0,54973
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,CORE,7437,GESTION REMOTA PYMES,0,0,0,1,10,10,0,0,0,44753
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DATA TRANSFORMATION,111,CLIENT SOLUTIONS,1,1,1,1,1,2,1,1,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6110,TESTING TOOLS,4,4,0,4,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6136,DEVOPS - CI/CD,0,0,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,6136,DEVOPS - CI/CD,0,0,0,0,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,DEVOPS,7207,Z COLOMBIA,0,0,0,1,0,0,0,0,0,0
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,175,PAYMENTS,11,9,11,11,58,58,7,8,0,786055
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,395,ENTERPRISE WEB CHANNEL,7,5,7,7,36,41,4,6,324,5321657
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,396,TRANSACCIONALIDAD,6,6,6,6,17,18,3,4,9,1344433
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,5209,ENTERPRISE MOBILE (GEMA),2,1,2,2,53,59,0,1,0,80048
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,6667,SOLUCIONES FINANCIERAS,3,3,3,3,14,14,1,2,0,2727
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,85,OPEN MARKET,7,6,6,8,48,48,3,4,12,464141
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,340,NET,3,2,3,3,19,24,1,3,0,3400549
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,341,OFICINA,10,10,10,10,21,21,7,8,0,948316
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,343,MOVIL RETAIL,1,1,1,1,71,72,0,1,0,90769
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4010,FRAUDE,1,1,1,1,0,0,0,0,0,32261
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4065,CANALES ASISTIDOS IVR/CBs,2,2,2,2,8,8,1,2,0,140874
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4066,CANALES ASISTIDOS ATMs/RPA,2,2,1,2,10,10,1,1,0,12266
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,5088,ANTIFRAUDE,6,6,6,6,7,7,4,4,77,3136291
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SALESFORCE,6371,SALESFORCE,6,6,6,6,0,0,1,2,0,106550
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,4061,SEGUROS SISTEMAS ESPECIALIZADAOS,3,3,3,3,0,0,1,2,0,145845
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,4063,SEGUROS AUTOMATION,7,7,7,7,0,0,1,3,0,110292
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6650,SEGUROS PROCESOS,6,6,6,6,0,0,3,4,0,15546
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6651,SEGUROS FINANCIERO,4,4,4,4,0,0,0,0,0,4772
03/25/2025,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6652,BUSINESS CORE,4,3,3,4,0,0,0,3,1044,1853770
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,0,1,1,7,7,1,1,0,26595
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,261,ALERTAS FX,1,1,1,1,0,0,0.5,1,0,17767
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,4958,FACTORIA ENTERPRISE CLIENTS AMERICA,0,0,1,1,6,6,0.5,1,0,19198
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,388,PLATAFORMA SENDA,0,0,2,2,46,46,0,1,2,2918460
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,389,PLATAFORMA GEMA,0,0,1,1,27,27,1,1,0,1393533
03/25/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,390,PLATAFORMA API CHANNEL,0,0,1,1,16,16,0,1,0,251144
